frame,structure_id,track_id,morphology,centroid_x,centroid_y,major_axis,minor_axis,orientation,mean_intensity,area,eccentricity,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col
0,1,1,filament,51.51063829787234,53.9113475177305,26.411917902779855,15.659929384605768,-69.16570302134073,0.4351979283009533,282,0.8052676415851561,45,37,63,63
2,1,1,filament,50.547892720306514,43.15325670498084,21.68155944118099,16.09202962995576,29.37035625647568,0.558275003596039,261,0.6701796688686094,34,41,55,59
4,1,1,filament,46.80487804878049,43.0609756097561,27.464876869114036,16.146801727408754,-56.073812670186555,0.479364871296905,328,0.808928304217499,32,34,53,59
5,1,2,filament,65.76363636363637,63.945454545454545,18.836156292804,8.375478350557874,7.965678452047493,0.5393513447328444,110,0.8957048917219401,56,62,75,72
6,1,2,filament,61.80402010050251,67.47738693467336,27.04673836875821,16.848481610126388,-16.416481423204285,0.4577491381041615,199,0.7822700188407733,55,51,83,70
8,1,2,filament,61.6530612244898,66.0561224489796,21.705387665755072,13.178596154054397,7.049692061268784,0.4664162104388003,196,0.7945812513620726,56,55,78,70
9,1,2,filament,61.611111111111114,65.06349206349206,22.987231620643342,7.937738428747397,13.22273911271731,0.5090723205339398,126,0.9384884009949632,56,57,77,68
10,1,2,filament,56.044843049327355,67.05829596412556,19.50382066957703,14.91376075271732,-5.938559565394344,0.5050217513034514,223,0.6444357969316699,56,49,77,64
11,1,2,filament,59.794701986754966,69.31788079470199,17.290464513604142,12.463205477670094,-24.477005558754342,0.4280500126646873,151,0.6931287483142222,62,52,79,67
12,1,2,filament,59.483870967741936,69.39354838709677,21.585483790627052,11.3772890611963,-68.57336302568582,0.4026767730417806,155,0.8498153179531915,63,49,78,70
13,1,2,filament,61.90748898678414,73.67400881057269,35.733544233314625,10.709166702656905,-3.0911245654450137,0.286822708164882,227,0.9540350468835724,60,56,90,69
16,1,3,filament,62.947916666666664,71.03125,12.037245127610346,10.281652037815222,-31.02826827085192,0.6079266590066058,96,0.5200213714731723,65,58,77,69
17,1,3,filament,61.82,71.82,11.407157047985766,5.989988988519816,-32.11944429560438,0.5234817860487571,50,0.8510356210824438,67,58,78,66
26,1,4,filament,59.3696682464455,69.88625592417061,20.785075580126986,15.502161581948894,-81.74711747983096,0.5452077231593228,211,0.6661347867674849,61,47,79,69
27,1,4,filament,57.85093167701864,73.4472049689441,17.051394618084622,12.48522561251679,-24.638798431037344,0.5302519131197279,161,0.681077424538645,66,52,83,65
28,1,4,filament,57.411764705882355,75.33529411764705,19.431374600083625,12.01291488597998,-31.063605315213536,0.4670589557488364,170,0.7860030658013175,65,51,85,65
29,1,4,filament,57.28346456692913,74.36220472440945,22.01886614916561,8.345243582559025,-45.856001703154654,0.5435801919418091,127,0.9253949360750324,66,49,83,67
30,1,4,filament,55.43169398907104,74.46994535519126,17.044324443087454,14.17389036762584,-39.524884267613544,0.5510124956581313,183,0.5553899647652852,67,48,83,64
32,1,4,filament,57.68390804597701,70.01724137931035,20.98307755357345,14.404387682529652,-48.5698484095866,0.4651846426311559,174,0.7271520768796861,60,49,78,67
33,1,4,filament,57.62328767123287,70.42465753424658,16.751829516518278,11.747386541980926,-63.648804609157075,0.5045567552341502,146,0.7129056962086889,65,50,79,67
34,1,4,filament,59.88414634146341,68.77439024390245,18.80897417854371,11.898890071659263,-13.902798690478336,0.5295141978303571,164,0.7744642275553076,59,53,79,67
36,1,4,filament,58.433476394849784,69.4206008583691,20.613999728797957,15.328965335965975,-9.372448526505346,0.5003256296581041,233,0.6686034193532213,59,52,81,67
38,1,4,filament,58.9639175257732,76.02061855670104,15.804644882833104,15.63501225606884,-60.25511870305762,0.5984512366277165,194,0.1461197270125063,69,52,84,67
39,1,4,filament,54.2625,78.2625,12.251979505010958,8.9935531470488,31.975648223145065,0.4639818856910905,80,0.6790965206556777,73,50,84,61
40,1,4,filament,56.46779661016949,75.3864406779661,29.28622301804562,15.228629815017474,7.5956036314119775,0.5659520918462073,295,0.8541705455102948,64,48,93,65
