track_id,initial_morphology,final_morphology,morphology_label,num_transitions,formation_frame,dissolution_frame,lifetime_frames,lifetime_minutes,max_length,mean_intensity_avg
2,filament,filament,filament,0,1,4,4,57.6,27.99956806206491,0.5347285517143653
4,filament,filament,filament,0,4,8,5,72.0,29.313443814738473,0.4469235305853819
5,filament,filament,filament,0,6,20,15,216.0,26.684991298236785,0.5050797883756312
6,filament,filament,filament,0,9,10,2,28.8,18.89618801538601,0.4256267873828086
7,filament,filament,filament,0,12,18,7,100.8,28.029503735236595,0.6020092859199131
8,filament,filament,filament,0,22,23,2,28.8,23.68390245154575,0.6739299563204063
10,filament,filament,filament,0,29,32,4,57.6,23.438357098394473,0.5646949785912211
11,filament,filament,filament,0,31,33,3,43.2,22.2447147870681,0.6415053829052102
12,filament,filament,filament,0,38,41,4,57.6,22.730906167196295,0.6197071272894945
13,filament,filament,filament,0,43,45,3,43.2,23.28736092606873,0.6083956344869362
15,filament,filament,filament,0,47,48,2,28.8,23.2744857762516,0.6246995005193011
17,filament,filament,filament,0,51,59,9,129.6,24.391664307803016,0.592915514369924
18,filament,filament,filament,0,52,56,5,72.0,24.65347772670411,0.6295662405482177
20,filament,filament,filament,0,61,66,6,86.4,23.453680412545804,0.6037649266434906
21,filament,filament,filament,0,68,72,5,72.0,11.192648179962832,0.6068745260816277
23,filament,filament,filament,0,80,81,2,28.8,20.83849523762647,0.6273023360965612
