frame,structure_id,track_id,morphology,centroid_x,centroid_y,major_axis,minor_axis,orientation,mean_intensity,area,eccentricity,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col
20,1,2,filament,60.1747572815534,83.84466019417475,18.917764406563435,9.912273684273936,-85.34462070778197,0.497231580825285,103,0.8517389088800651,78,51,89,68
22,1,2,filament,60.804597701149426,80.93103448275862,14.093428626338344,8.285063652584768,-80.23206911366225,0.5132298291663062,87,0.8089574893648411,77,54,86,68
23,1,2,filament,60.916666666666664,79.92592592592592,15.648114215519044,8.967669729268707,88.69189353411525,0.4953876500805036,108,0.8194972641518322,76,53,85,69
24,1,2,filament,61.20388349514563,78.3883495145631,16.49962555861719,8.459196275789214,-85.00047497884525,0.5746384159118254,103,0.8585736788663341,74,53,83,70
25,1,2,filament,58.77966101694915,79.95762711864407,15.5377040006164,9.857183636378252,-83.36505312682169,0.53846150782873,118,0.7730015497696228,75,51,86,67
26,1,2,filament,57.93382352941177,85.26470588235294,19.45593724552337,12.571397508233574,84.20147314657643,0.514405771372849,136,0.7632128929055357,79,49,92,68
27,1,2,filament,55.59848484848485,85.99242424242425,17.9398937564813,10.55739792472396,-43.36054718280406,0.4780735963872844,132,0.808506530715103,80,49,95,64
28,1,2,filament,57.44,89.63428571428571,26.970651486587755,15.710528096881385,72.96767055062963,0.4595238180105719,175,0.8128274176034105,82,46,100,70
29,1,2,filament,52.37719298245614,87.80701754385964,16.213113845911188,9.607172255588386,-59.76592500614672,0.5828968932325946,114,0.8055295144038529,83,46,94,62
31,1,2,filament,50.86666666666667,85.94285714285714,17.240367473543355,8.16232296746833,-53.85726665301543,0.5509613878316009,105,0.8808247176783013,80,43,92,59
32,1,2,filament,53.13592233009709,83.94174757281553,17.433113384885758,7.77653715903914,-57.583671872953296,0.4737296213228822,103,0.8949938364217741,78,47,91,61
33,1,2,filament,54.265957446808514,82.17021276595744,18.368920149812464,6.919616865388258,-67.36380873638379,0.5403348347750172,94,0.9263343234946932,78,47,88,64
34,1,2,filament,56.088235294117645,81.70588235294117,16.710083165673463,7.953896534230578,-58.49984325459903,0.4373616046023008,102,0.8794486176202156,77,50,88,65
35,1,2,filament,55.39393939393939,81.28282828282828,17.607775336638532,7.599929072786166,-62.326308326144265,0.4574958661915114,99,0.9020538681133868,76,49,88,64
36,1,2,filament,54.24528301886792,82.70754716981132,17.413543303047724,8.099829768455088,-62.963161254875274,0.3960123354649299,106,0.8852342887595561,77,47,89,63
37,1,2,filament,54.737864077669904,85.75728155339806,18.241832396087595,7.669718314036492,-60.70373242357755,0.436272667719491,103,0.9073172370887788,80,48,92,64
38,1,2,filament,54.655913978494624,87.6989247311828,17.08041417978094,7.1700356331075605,-61.95720085093567,0.5441227778056802,93,0.9076253629999572,83,48,94,63
39,1,2,filament,53.321100917431195,86.4862385321101,19.500212477135513,7.3545217731536,-58.26538693967628,0.4800057729498777,109,0.9261518417286928,81,46,93,64
40,1,2,filament,52.294642857142854,85.08035714285714,18.31949091821838,7.985051559988924,-57.54653196966557,0.4359160069273176,112,0.9000060646877495,79,45,92,62
41,1,2,filament,54.81818181818182,82.3,18.123120604748053,8.138680444670829,-52.57724319518786,0.4793086201051978,110,0.8934929541478501,75,48,90,63
42,1,2,filament,55.861111111111114,81.66666666666667,19.403493656367417,7.439350784856765,-59.49938399597535,0.431741115651092,108,0.9235812969164622,76,48,88,65
43,1,2,filament,56.13084112149533,81.51401869158879,19.59824087205973,7.360295920062292,-61.065386346145765,0.4215915413381659,107,0.9267984844391052,76,49,88,66
44,1,2,filament,55.5625,80.71875,17.088456428267513,7.777523078238729,-57.072264022257755,0.4480759188834307,96,0.8904233890428117,74,49,87,64
45,1,2,filament,56.169642857142854,82.69642857142857,18.103330851245136,7.99411606634484,-55.57105093500547,0.4194817612130196,112,0.8972205969284127,77,49,90,65
46,1,2,filament,53.01980198019802,87.1980198019802,17.173150578654116,7.638731958613621,-61.973678310034785,0.3895335283612172,101,0.8956266099454377,82,45,93,61
47,1,2,filament,55.16129032258065,89.33064516129032,18.9269606012645,9.476194285249337,-75.89754193975676,0.3465804457373407,124,0.8656372273619025,84,48,96,65
