frame,structure_id,track_id,morphology,centroid_x,centroid_y,major_axis,minor_axis,orientation,mean_intensity,area,eccentricity,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col
18,1,5,filament,64.4059040590406,70.00369003690037,24.432213382403663,16.058552118959934,14.654474123112529,0.5043916564906179,271,0.7536555041961095,56,56,81,74
19,1,5,filament,63.28350515463917,69.26288659793815,27.078294639104225,12.953643783619766,-6.96692683805188,0.3536683258247226,194,0.8781543585170928,57,56,81,70
20,1,5,filament,59.388888888888886,69.46913580246914,30.68278015214307,11.524901973314106,54.98501880662265,0.4180090535329334,162,0.9267759323029968,59,47,79,70
21,1,5,filament,63.28099173553719,70.97520661157024,18.65945617393095,9.230178021659352,53.41053533949107,0.426795353640982,121,0.8690837915550206,64,54,78,71
22,1,5,filament,61.34027777777778,70.20833333333333,18.852752693356205,11.260747122624394,44.89664094451,0.3614519771248747,144,0.8020179802237433,62,53,79,69
23,1,5,filament,57.12658227848101,64.81434599156118,27.98686849220215,16.046186053733113,62.02340175361691,0.2954823633292032,237,0.8193126753717893,54,46,76,71
24,1,5,filament,62.33116883116883,67.09740259740259,22.86404901900962,11.138041758410765,73.44679697287542,0.3844848119974805,154,0.8733226985786704,60,51,75,72
25,1,5,filament,60.5108359133127,64.656346749226,27.125932764497747,17.83484807223209,-15.489186918207777,0.4998307880974243,323,0.7534691078731556,51,49,77,69
26,1,5,filament,63.67553191489362,67.10106382978724,28.369433194766895,12.88111446705631,-6.057977304335827,0.4274944129522587,188,0.8909766839606548,55,56,80,71
27,1,5,filament,58.14193548387097,72.27741935483871,21.19776567541542,14.670280996698908,64.6373530818987,0.457733684158329,155,0.7218329564598256,64,48,82,68
28,1,5,filament,58.929906542056074,73.46728971962617,21.00405751959503,14.953048248201338,62.735250786528766,0.5492647871601165,214,0.7022683145268797,65,46,82,68
29,1,5,filament,61.05172413793103,74.08045977011494,15.247159895542074,14.616107625019913,-23.005034123469233,0.562192735120752,174,0.2847163283771675,67,54,83,69
31,1,5,filament,59.154545454545456,69.15,29.245364907314933,13.67822193872195,80.66942450254362,0.3698827990735497,220,0.8838842909695761,62,46,78,71
32,1,5,filament,58.39259259259259,66.35185185185185,32.95913178666091,14.312021462537748,62.738086193911016,0.2835861776765276,270,0.900799436956462,56,46,77,73
34,1,5,filament,68.70344827586207,63.72413793103448,20.78324817371496,12.154076090894684,-42.22942267973927,0.4344306082082907,145,0.8111763850788093,54,60,71,77
37,1,6,filament,59.32450331125827,69.3112582781457,25.651158799794317,9.676984734117529,81.79011259211673,0.3815793261174973,151,0.9261101095700068,64,49,76,73
38,1,6,filament,54.69662921348315,70.6685393258427,25.66026169624462,10.98238154089116,32.652382948265,0.393998482707173,178,0.9037826181292462,59,47,82,64
39,1,6,filament,52.55,69.45714285714286,19.17160379806551,11.765940800124776,48.522906188539736,0.4601853299095018,140,0.7895260220064801,61,46,77,62
40,1,6,filament,53.7,66.85714285714286,24.724636200132448,16.066294972981648,31.126724904390223,0.4341668928673554,280,0.7600974024639042,55,45,78,68
41,1,6,filament,56.09057971014493,66.23913043478261,23.040200094808892,16.72588247969427,51.90908705638159,0.5700884388508871,276,0.6877543885332876,54,47,76,70
46,1,7,filament,57.77972027972028,68.45804195804196,23.4618325289728,18.070088158429677,30.750555717789187,0.624220170324943,286,0.6378135249670899,55,46,79,71
48,1,7,filament,56.29739776951673,70.62453531598513,21.98095866085619,16.443872734156365,-74.39143283689388,0.5757740807632992,269,0.6635902361505199,62,46,80,69
50,1,7,filament,58.34504792332268,65.68370607028754,27.652944871750275,15.941208870461423,35.95618841396614,0.5984796196341601,313,0.8171153611947092,52,47,79,70
