frame,structure_id,track_id,morphology,centroid_x,centroid_y,major_axis,minor_axis,orientation,mean_intensity,area,eccentricity,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col
0,1,1,filament,72.51807228915662,58.88353413654618,20.32926214916368,16.199832991815136,-28.661139187694783,0.6030794856438955,249,0.6041473168270972,50,65,70,82
1,1,1,filament,72.37096774193549,56.49032258064516,23.1463807140098,17.372663304443734,-81.29129839079138,0.6222349431063576,310,0.6608064371010137,48,61,66,84
1,2,2,filament,51.84477611940299,68.79701492537313,27.99956806206491,18.278942216309876,4.190634304554819,0.6634604641806552,335,0.7575049359266115,54,43,86,64
2,1,2,filament,56.30402930402931,71.05128205128206,21.40041741179381,16.958126046649124,-86.55772835816883,0.5124494295389402,273,0.6099754129307474,63,46,80,67
4,1,2,filament,57.36405529953917,71.7741935483871,22.013698601296003,13.597906940748684,16.51592327460063,0.4282757614235005,217,0.7864122118528315,60,51,82,66
4,2,4,filament,74.8103448275862,54.21551724137931,28.01388736647771,19.779706259182745,28.796298318015737,0.4647994441476507,348,0.7081441512598937,39,63,66,89
5,1,4,filament,74.27596439169139,51.6973293768546,29.313443814738473,17.120858959382982,7.201894374275583,0.4758961416933628,337,0.8117092861232499,37,65,69,84
7,1,4,filament,75.25,52.551587301587304,24.10946269988534,17.58541395257535,0.6854527014818474,0.4679425439362658,252,0.6840886950677127,40,65,63,87
8,1,4,filament,71.6797583081571,50.70996978851963,25.605831506082996,18.828883187377365,16.18090333914214,0.3782663382759393,331,0.6777029895877361,38,63,62,85
6,1,5,filament,48.62847222222222,43.107638888888886,22.43427568671773,17.943690722870393,-17.638918653522627,0.439237398696566,288,0.6002216103241476,33,40,55,58
8,2,5,filament,46.44736842105263,44.642857142857146,22.78296451502735,15.9386122412099,-19.65258374236644,0.3816625041546153,266,0.7145497312332044,35,39,58,56
10,1,5,filament,47.07067137809187,43.35335689045937,23.746242370573707,15.885726483479408,-49.826377526380014,0.4576828414019914,283,0.7432817210553327,34,38,55,59
11,1,5,filament,46.83774834437086,43.39403973509934,24.64627406839669,18.39918096354951,-35.400923997554024,0.4170165922481627,302,0.665351847726159,33,36,57,57
12,1,5,filament,46.58054711246201,45.328267477203646,25.045240530634334,17.373487271282976,-10.09457295446382,0.4325469510677432,329,0.7202792869209149,34,38,58,56
13,1,5,filament,46.850467289719624,43.242990654205606,24.922273751591547,18.443689965152217,-34.563876413915395,0.5124706645517791,321,0.6725535646368391,33,37,57,61
14,1,5,filament,48.61216730038023,39.91634980988593,21.57430301541159,16.14338289368296,-71.23592162418416,0.5482456102550581,263,0.6633953961019873,32,39,50,61
15,1,5,filament,49.35646687697161,42.52996845425867,26.684991298236785,18.50081553111807,-43.93527377037494,0.5946280140209276,317,0.7206450852503264,33,38,56,64
17,1,5,filament,45.07142857142857,47.3469387755102,24.994833304679524,16.575506322113892,-22.98969635850976,0.5820537765630378,294,0.7484800513666408,37,37,62,55
18,1,5,filament,46.11764705882353,49.34901960784314,21.877112361937463,16.0168384361036,4.905333992895671,0.6269862970289922,255,0.6811674776685136,40,38,63,55
19,1,5,filament,46.62676056338028,49.17605633802817,23.78248409632113,16.817357806931728,15.40781896275074,0.5519402221272426,284,0.707081466315636,39,38,63,56
20,1,5,filament,48.892405063291136,49.015822784810126,24.462652239221782,18.53418450341385,-51.90323814703336,0.5272171747593501,316,0.6526584148964739,39,36,61,60
9,1,6,filament,57.81746031746032,75.0,18.89618801538601,10.81390906451676,-87.02531528317793,0.4290997927175806,126,0.8200583437673212,69,48,82,66
10,2,6,filament,58.99230769230769,73.6076923076923,17.85313816003729,11.583895772604873,69.105582916992,0.4285196529874854,130,0.7609217341598977,68,50,82,67
12,2,8,filament,71.35664335664336,55.55944055944056,23.506989863855864,10.457425923497537,77.90701915229563,0.5224189527567515,143,0.895597874466438,50,61,62,81
13,2,8,filament,73.78018575851394,50.06501547987616,24.6487534018388,18.423150441964868,87.83220132284912,0.5660513854894004,323,0.664343644057122,41,61,62,86
14,2,8,filament,70.69444444444444,46.91358024691358,23.767554580866904,18.59400284192969,-56.859390243003375,0.5652126063029262,324,0.6228677680120341,37,59,59,84
15,2,8,filament,74.66037735849056,50.49811320754717,21.5482647582184,16.323623819363405,-68.12340201383034,0.6435059502667528,265,0.6527913679884341,41,63,59,85
16,1,8,filament,72.24262295081967,50.5672131147541,24.961246007015735,16.563462539592592,57.00677897023943,0.6090609491993312,305,0.7481167390084622,41,62,61,85
18,2,8,filament,67.03676470588235,51.73529411764706,22.84832851144603,17.475679842659797,32.26948318711005,0.676973095371976,272,0.6442013558833557,41,57,65,78
22,1,9,filament,73.3527397260274,49.863013698630134,23.69733546738518,17.28828993267731,38.478760403883506,0.6520377682412994,292,0.6839320331636516,40,63,63,85
23,1,9,filament,72.68283582089552,49.223880597014926,22.539685722450955,17.108924467247775,31.827621099621847,0.696043122839265,268,0.6510232270127764,39,64,62,83
29,1,11,filament,44.12903225806452,49.7347670250896,22.89905963281795,16.142873249187005,32.24411792239492,0.5465073681578642,279,0.7092491405098205,40,35,62,54
30,1,11,filament,41.82608695652174,50.04037267080745,23.438357098394473,18.728441562306344,-46.96392096035445,0.5612425450847486,322,0.601263316242482,40,31,63,53
32,1,11,filament,44.42379182156134,46.66542750929368,22.48372164781707,16.160089842854028,-17.44218159043137,0.5864096781238911,269,0.6952725205442686,37,35,60,54
31,1,12,filament,67.43824701195219,51.908366533864545,20.422539870102476,16.18565720913518,-31.81036330080706,0.6448673375913967,251,0.6098213654721127,43,60,63,77
32,2,12,filament,69.44354838709677,49.88709677419355,20.883347434566616,16.240686236033692,-32.39806651871167,0.6250605600630992,248,0.6286529545888337,41,61,62,79
33,1,12,filament,70.20879120879121,49.523809523809526,22.33840100651288,17.358002733221724,9.088193315729717,0.6542099391859149,273,0.6294417360619377,39,62,63,80
