track_id,initial_morphology,final_morphology,morphology_label,num_transitions,formation_frame,dissolution_frame,lifetime_frames,lifetime_minutes,max_length,mean_intensity_avg
2,filament,filament,filament,0,2,4,3,43.2,22.82810909016211,0.6073854912946869
4,filament,filament,filament,0,4,6,3,43.2,22.953563683025397,0.6131530243426873
8,filament,filament,filament,0,15,16,2,28.8,25.69476434785117,0.6115657362657102
9,filament,filament,filament,0,20,21,2,28.8,22.17652098840321,0.6301819651840196
10,filament,filament,filament,0,21,23,3,43.2,23.802428223759694,0.6043259436112094
11,filament,filament,filament,0,22,23,2,28.8,15.67546513676344,0.600623929006685
15,filament,filament,filament,0,29,35,7,100.8,15.8046448828331,0.6419503245808583
16,filament,filament,filament,0,31,62,32,460.8,30.246152689613197,0.5216813319080366
17,filament,filament,filament,0,36,37,2,28.8,23.390144825196444,0.5157221825353879
20,filament,filament,filament,0,48,51,4,57.6,10.036285284336111,0.4317735488526212
21,filament,filament,filament,0,65,69,5,72.0,20.600280898884677,0.5024635604866664
24,filament,filament,filament,0,75,85,11,158.4,22.648837826115233,0.536506237528388
25,filament,filament,filament,0,75,77,3,43.2,16.2151565561796,0.4592339273472059
26,filament,filament,filament,0,80,83,4,57.6,7.477884557714881,0.4745248249752798
28,filament,filament,filament,0,94,99,6,86.4,22.926113307509297,0.5340015744306501
