frame,structure_id,track_id,morphology,centroid_x,centroid_y,major_axis,minor_axis,orientation,mean_intensity,area,eccentricity,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col
2,1,2,filament,51.333333333333336,52.30072463768116,21.673445090799735,16.678353335314142,66.40017509145127,0.6451884198300977,276,0.6386113784527757,44,41,62,62
3,1,2,filament,49.85271317829457,51.810077519379846,21.06360166903593,16.53341918044758,75.42756593471597,0.5857807485810047,258,0.6195864790929165,44,38,62,60
4,1,2,filament,50.231884057971016,54.278985507246375,22.82810909016211,17.027366372519243,67.41543434716453,0.5911873054729582,276,0.6660638443959439,45,38,64,61
4,2,4,filament,82.54639175257732,55.797250859106526,22.953563683025397,17.28322322210088,36.89126663895564,0.578592108248098,291,0.6580609079813095,46,70,67,93
6,1,4,filament,82.64794007490637,54.53932584269663,21.006777130939692,16.558248577698812,52.50869993161291,0.6477139404372765,267,0.6153760765833741,46,73,65,94
15,1,8,filament,51.661921708185055,53.84341637010676,25.69476434785117,16.21012040943727,-66.49574531231508,0.6227466747068358,281,0.7758865119928704,44,39,64,63
16,1,8,filament,51.9236641221374,55.6793893129771,23.24856075191314,16.534815290433276,41.7270581919856,0.6003847978245846,262,0.7029706307798359,44,41,66,62
20,1,9,filament,52.696969696969695,57.61363636363637,22.17652098840321,17.041269181800327,67.34750555602093,0.6450573649262088,264,0.6399249091464596,48,40,70,63
21,1,9,filament,52.98814229249012,57.80237154150198,21.0588931932919,16.111475728019336,0.638591298388172,0.6153065654418304,253,0.6439500374256342,46,45,68,62
21,2,10,filament,84.35611510791367,58.28776978417266,21.842710060123075,16.85663854615999,68.61048840795269,0.6033510664049385,278,0.6359523230579609,49,74,67,95
23,1,10,filament,85.46644295302013,54.84563758389262,23.802428223759694,16.800392943306612,68.20533170475646,0.6053008208174804,298,0.7083843994313503,46,75,65,97
22,1,11,filament,69.04117647058824,37.98823529411764,14.804413444626784,14.635975017260805,-74.05460409907721,0.5894459060516949,170,0.1504184647998789,31,62,46,77
23,2,11,filament,69.0,36.0,15.67546513676344,15.67546513676344,-45.0,0.6118019519616752,193,0.0,29,62,44,77
29,1,15,filament,64.97938144329896,41.0360824742268,15.8046448828331,15.635012256068835,-29.74488129694263,0.6332958944130648,194,0.1461197270125055,34,58,49,73
30,1,15,filament,64.0,41.0,15.67546513676344,15.67546513676344,-45.0,0.6418059177119031,193,0.0,34,57,49,72
31,1,15,filament,65.0,39.0,15.67546513676344,15.67546513676344,-45.0,0.6637042055528148,193,0.0,32,58,47,73
32,1,15,filament,67.0,38.0,15.67546513676344,15.67546513676344,-45.0,0.6470788961296574,193,0.0,31,60,46,75
33,1,15,filament,66.0,36.0,15.67546513676344,15.67546513676344,-45.0,0.644794366924297,193,0.0,29,59,44,74
34,1,15,filament,68.0,36.0,15.67546513676344,15.67546513676344,-45.0,0.653338842154747,193,0.0,29,61,44,76
35,1,15,filament,68.0,37.0,15.67546513676344,15.67546513676344,-45.0,0.6096341491795235,193,0.0,30,61,45,76
31,2,16,filament,46.74021352313167,54.562277580071175,22.408806203359504,16.648949220197355,65.43086464071936,0.6308817324507033,281,0.6693307384542355,46,35,64,58
33,2,16,filament,50.284046692607006,53.82879377431907,21.511287908061085,16.151119856373167,-47.98977357343264,0.6166659752373089,257,0.6605060965522325,45,41,64,61
35,2,16,filament,51.12828947368421,52.95065789473684,25.59485793802442,15.959518318911869,70.34292191209099,0.5421236793689171,304,0.7817883132624911,45,39,63,63
37,1,16,filament,49.81981981981982,57.87687687687688,30.246152689613197,17.496456154944173,79.1523510986172,0.5089437498808812,333,0.815704498056408,48,32,68,63
39,1,16,filament,50.18333333333333,58.28666666666667,24.04610926578837,17.503866438272375,57.18799005720484,0.6181916101824629,300,0.6856522424739111,49,39,69,61
40,1,16,filament,51.041152263374485,59.74485596707819,22.86015475978391,14.531327103622733,-0.6475193851979171,0.6135465293074545,243,0.7719676658331436,47,44,70,59
42,1,16,filament,54.32984293193717,56.3717277486911,16.924158393484824,14.98789256087013,-82.98434414485685,0.5136959575176969,191,0.4644647593964655,49,47,64,64
43,1,16,filament,52.59139784946237,58.16129032258065,14.990061410567964,8.095916728290888,19.343736853029483,0.4844367048651878,93,0.8416100727773967,52,48,66,58
44,1,16,filament,51.98936170212766,58.0531914893617,13.589167704222334,8.952011215897452,11.914830666488587,0.5770858288857408,94,0.7523524349027451,51,47,65,57
45,1,16,filament,52.801886792452834,59.77358490566038,13.009299675307275,10.711857075923378,26.25664294568321,0.4845513222641275,106,0.5674614304334398,54,46,67,59
46,1,16,filament,48.797872340425535,63.1063829787234,15.268004563842243,8.005986695414123,20.21815354869866,0.4911742557686227,94,0.8514944251696933,56,44,71,54
47,1,16,filament,51.49342105263158,63.94078947368421,21.3360233351244,12.879255268697332,-78.21561991113354,0.4581721454074707,152,0.7972577921700738,58,42,72,63
48,1,16,filament,47.221311475409834,64.18032786885246,15.899606140077823,9.900995989316222,35.68455359672913,0.5160091723294415,122,0.7824450971425242,57,42,72,54
50,1,16,filament,45.08620689655172,55.8448275862069,15.471923787039866,9.887900941533337,2.7135978257846025,0.5439378244358957,116,0.7691346899128654,49,40,64,51
51,1,16,filament,45.9375,54.302083333333336,13.72495314119892,9.051874124223268,-34.02996512837222,0.5592221033739478,96,0.751687461378494,49,41,61,52
53,1,16,filament,50.32327586206897,55.14655172413793,23.451906885062737,17.077689563129802,63.188534654220106,0.4758737368861392,232,0.6853641942655351,46,41,64,63
54,1,16,filament,50.069182389937104,56.899371069182386,20.531193254319735,13.457318823798415,55.03404939216382,0.5369072838810116,159,0.7552323050974861,49,43,65,61
55,1,16,filament,49.26262626262626,57.47979797979798,19.11910791628502,14.042364669697577,66.65223091526936,0.5507403437623644,198,0.6786437897696169,50,41,65,60
56,1,16,filament,49.675824175824175,59.582417582417584,19.28434619938903,13.988799343002997,67.22594107364009,0.5097769515087922,182,0.6883311408121471,52,42,67,61
57,1,16,filament,50.48684210526316,59.19078947368421,19.382041370810384,13.03694053682008,52.60220790955294,0.5330836599373918,152,0.7399790662406781,51,44,67,61
58,1,16,filament,50.93693693693694,58.027027027027025,22.69570817452513,14.966652366717126,74.90745625089343,0.4101866739562521,222,0.7517496788798708,50,42,66,64
59,1,16,filament,52.00452488687783,56.12217194570136,19.75463189371387,15.7133395737364,43.68704080175871,0.445192895081696,221,0.6060512711808971,46,44,66,63
60,1,16,filament,52.53846153846154,54.59109311740891,21.275624348352707,15.753705180150854,76.88853545908562,0.4006246949090162,247,0.6721026892997615,46,43,63,64
62,1,16,filament,52.02232142857143,53.794642857142854,19.90796665257517,14.944808121229366,49.63772516143421,0.4993271345943544,224,0.6606491020670198,45,44,63,62
36,1,17,filament,82.164,58.56,20.24801584699409,16.194626215503604,62.51248285686285,0.4904618531517062,250,0.6002492578906435,51,72,68,92
37,2,17,filament,79.20805369127517,60.87919463087248,23.390144825196444,12.54476041222336,51.24346525784535,0.5409825119190697,149,0.844010435161734,51,72,69,89
48,2,20,filament,57.0,59.0,6.8339375694179925,6.8339375694179925,-45.0,0.4215615527486456,37,0.0,56,54,63,61
50,2,20,filament,56.0,59.0,7.917946548886296,7.917946548886296,-45.0,0.4378074625446688,49,0.0,55,52,64,61
51,2,20,filament,56.01724137931034,60.58620689655172,10.036285284336111,8.16918124913339,-68.77309437615331,0.4359516312645493,58,0.5809144337244676,57,51,66,62
65,1,21,filament,51.31192660550459,58.57339449541284,20.577971960021326,14.265036509908503,38.16241534753068,0.5252565970648925,218,0.7207272232062536,50,43,69,61
67,1,21,filament,46.59016393442623,56.467213114754095,16.21979363679564,9.743457115795586,-51.88415007277916,0.4797162876309919,122,0.7994640017695422,50,40,63,54
68,1,21,filament,47.18867924528302,58.74528301886792,13.789691218259213,9.970282737043007,-53.019193999702125,0.5053223759857242,106,0.6908225297229537,54,41,65,54
69,1,21,filament,48.13725490196079,58.15196078431372,20.600280898884677,15.571992256691145,20.50115004111322,0.499558981265057,204,0.6546736457107737,49,41,68,58
75,1,24,filament,49.285714285714285,52.54761904761905,17.242515630768157,6.430649352483604,-47.05553863074286,0.5485524448220972,84,0.9278502025343932,47,43,60,56
76,1,24,filament,49.53211009174312,54.42201834862385,17.06328679797596,8.551848819974563,-49.50395774395909,0.5314570061664428,109,0.8653406565655447,48,42,61,57
77,1,24,filament,48.86868686868687,55.19191919191919,15.35339294727856,8.471820556124792,-40.68968040545509,0.5308868359091857,99,0.8339843034699351,49,43,63,55
78,1,24,filament,47.9054054054054,56.5,17.80420026594277,5.7846242131683665,-36.57374585990976,0.5474815711471914,74,0.9457476125566524,49,42,64,54
80,1,24,filament,48.054545454545455,55.16363636363637,22.648837826115233,10.076503870405592,-17.494320506538138,0.4670717751061516,110,0.895579465348912,46,41,66,54
82,1,24,filament,49.95049504950495,50.0990099009901,15.762041001375334,8.456974642427731,-47.92272060664141,0.5645363270127546,101,0.843874519431086,45,44,57,57
83,1,24,filament,48.87951807228916,50.90361445783133,17.25477004079946,6.53538758339993,-54.154274208840896,0.5331528836691166,83,0.925495618954859,45,41,57,56
85,1,24,filament,49.123711340206185,51.81443298969072,15.203399113467752,8.575859006706589,-42.41353211446267,0.5689110563941636,97,0.825723483865414,46,43,59,55
75,2,25,filament,57.303030303030305,59.57575757575758,8.22703029263302,5.368008329657833,-54.80651585384228,0.4794493977518799,33,0.7578022183089033,57,54,63,62
76,2,25,filament,59.865671641791046,61.0,16.2151565561796,5.96039099306382,-64.5975038620361,0.4331046031384481,67,0.929991326303242,57,54,66,67
77,2,25,filament,55.44444444444444,63.492063492063494,15.603466931809756,6.266983323337414,-54.35125516370129,0.4651477811512896,63,0.9157974432108984,58,50,69,62
80,2,26,filament,55.588235294117645,59.6764705882353,7.040032347790889,6.5208120295525225,46.52119274331406,0.4400730644932383,34,0.3769159803443981,57,53,64,59
82,2,26,filament,57.24242424242424,58.21212121212121,7.477884557714881,5.835869037830193,-74.3728363094792,0.5221284119099778,33,0.6252592567055908,56,54,62,61
83,2,26,filament,56.21875,58.53125,6.48074069840786,6.381124509050109,6.34019174590991,0.4613729985226232,32,0.1746595327514428,56,54,62,60
94,1,28,filament,52.082352941176474,50.811764705882354,16.504617396410463,7.417296658433746,-40.95393405221784,0.6078759956290574,85,0.8933269378501302,45,45,58,59
